|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#Hidden1_ActMAvg	#Hidden1_ActMMax	#Hidden1_MaxGeM	#Hidden1_CorDiff	#Hidden1_GiMult	#Hidden2_ActMAvg	#Hidden2_ActMMax	#Hidden2_MaxGeM	#Hidden2_CorDiff	#Hidden2_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#Input_ActAvg	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	Base	0.002623	0.2525	1	0	0	0	0	0	0	0.07241	0.6488	1.021	0.01213	1	0.07222	0.4663	0.9947	0.08514	1	0.2407	0.6594	0.9931	0.9974	1	0.1537	24	0.1876	0.09636	0.005853	24	0.1082	0.05629	0.004091	10	0.05466	0.01813	0.003332
0	1	Base	0.305	0.2375	1	0	0	0	0	0	12.42	0.07315	0.646	1.043	0.009661	1	0.07154	0.4906	0.9892	0.06949	1	0.2354	0.6632	0.9878	0.695	1	0.1603	24	0.1876	0.09636	0.005853	24	0.1082	0.05629	0.004091	10	0.05466	0.01813	0.003332
0	2	Base	0.4382	0.2288	1	0	0	0	0	0	11.02	0.07365	0.6484	1.061	0.01141	1	0.07133	0.5045	0.9881	0.06971	1	0.2351	0.5644	0.9815	0.5618	1	0.1664	24	0.1876	0.09636	0.005853	24	0.1082	0.05629	0.004091	10	0.05466	0.01813	0.003332
0	3	Base	0.473	0.2275	1	0	0	0	0	0	11.11	0.07348	0.6489	1.078	0.01176	1	0.07126	0.493	0.9866	0.08268	1	0.2335	0.5932	0.9778	0.527	1	0.1718	24	0.1876	0.09636	0.005853	24	0.1082	0.05629	0.004091	10	0.05466	0.01813	0.003332
0	4	Base	0.5577	0.22	1	0	0.5551	0.2088	0	1	13.14	0.0731	0.6558	1.11	0.01174	1	0.07236	0.4924	0.9821	0.07721	1	0.2391	0.7094	0.9724	0.4423	1	0.1811	24	0.1876	0.09636	0.005853	24	0.1082	0.05629	0.004091	10	0.05466	0.01813	0.003332
0	5	Base	0.6384	0.1813	1	0	0.5551	0.2088	0	1	11.19	0.07303	0.6465	1.122	0.01148	1	0.07182	0.4917	0.9855	0.0753	1	0.2437	0.7634	0.9705	0.3616	1	0.1851	21	0.2123	0.1116	0.005676	21	0.1164	0.0685	0.003969	12	0.0756	0.02649	0.004503
0	6	Base	0.6672	0.1763	0.9375	0.0625	0.5551	0.2088	0	1	11.2	0.07343	0.6434	1.134	0.009667	1	0.07291	0.4896	0.9809	0.06602	1	0.2426	0.7192	0.9678	0.3328	1	0.1887	21	0.2123	0.1116	0.005676	21	0.1164	0.0685	0.003969	12	0.0756	0.02649	0.004503
0	7	Base	0.6644	0.1788	1	0	0.5551	0.2088	0	1	11.14	0.07337	0.6417	1.145	0.01117	1	0.07198	0.4965	0.9799	0.07333	1	0.2482	0.7953	0.9706	0.3356	1	0.192	21	0.2123	0.1116	0.005676	21	0.1164	0.0685	0.003969	12	0.0756	0.02649	0.004503
0	8	Base	0.7187	0.1388	0.875	0.125	0.5551	0.2088	0	1	11.1	0.07382	0.6503	1.156	0.01262	1	0.07264	0.4992	0.9787	0.08156	1	0.2615	0.8592	0.9712	0.2813	1	0.1949	21	0.2123	0.1116	0.005676	21	0.1164	0.0685	0.003969	12	0.0756	0.02649	0.004503
0	9	Base	0.7732	0.1088	0.8125	0.1875	0.7553	0.135	0	1	13.01	0.07344	0.6376	1.175	0.008834	1	0.07177	0.5021	0.9802	0.05816	1	0.2536	0.8328	0.9813	0.2268	1	0.1999	21	0.2123	0.1116	0.005676	21	0.1164	0.0685	0.003969	12	0.0756	0.02649	0.004503
0	10	Base	0.7861	0.1113	0.8125	0.1875	0.7553	0.135	0	1	11.3	0.07344	0.6511	1.183	0.009321	1	0.07226	0.5157	0.9819	0.05857	1	0.2561	0.8696	0.9849	0.2139	1	0.2021	24	0.2092	0.1191	0.006909	24	0.1245	0.06798	0.004171	15	0.1318	0.04342	0.006997
0	11	Base	0.7785	0.1038	0.75	0.25	0.7553	0.135	0	1	11.02	0.07336	0.6428	1.19	0.01263	1	0.07282	0.4994	0.9843	0.0738	1	0.2584	0.8563	0.9899	0.2215	1	0.204	24	0.2092	0.1191	0.006909	24	0.1245	0.06798	0.004171	15	0.1318	0.04342	0.006997
0	12	Base	0.8289	0.07625	0.7188	0.2812	0.7553	0.135	0	1	11.02	0.07397	0.6507	1.199	0.01002	1	0.0725	0.5207	0.9899	0.05569	1	0.261	0.9157	0.9903	0.1711	1	0.2057	24	0.2092	0.1191	0.006909	24	0.1245	0.06798	0.004171	15	0.1318	0.04342	0.006997
