|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#Hidden1_ActAvg	#Hidden2_ActAvg	#Output_ActAvg
0	0	166.9	0.2782	1	0	-6.826e-05	0	0.172	0.1579	0.1927
0	1	150.8	0.2513	1	0	0.09688	1.014	0.1711	0.1562	0.1967
0	2	128.2	0.2136	1	0	0.2299	0.989	0.1704	0.1547	0.2003
0	3	99.63	0.166	1	0	0.3907	0.9587	0.1697	0.1533	0.2034
0	4	80.48	0.1341	1	0	0.505	0.9822	0.1695	0.1522	0.2062
0	5	70.38	0.1173	1	0	0.5609	1.84	0.1679	0.1502	0.2109
0	6	51.67	0.08612	1	0	0.649	0.9591	0.1672	0.149	0.2128
0	7	48.61	0.08102	1	0	0.6861	1.007	0.1669	0.1483	0.2146
0	8	35.82	0.0597	1	0	0.7498	0.9346	0.1665	0.1476	0.2161
0	9	30.3	0.0505	1	0	0.7844	1.172	0.166	0.1466	0.2174
0	10	24.64	0.04106	0.9583	0.04167	0.8149	1.758	0.165	0.1455	0.2197
0	11	22.18	0.03696	0.9167	0.08333	0.8343	0.9923	0.1637	0.1446	0.2206
0	12	19.16	0.03194	0.9167	0.08333	0.8486	0.9288	0.1621	0.1436	0.2215
0	13	15.54	0.02589	0.7917	0.2083	0.874	0.8765	0.1607	0.1427	0.2222
0	14	8.525	0.01421	0.6667	0.3333	0.9099	0.9615	0.1595	0.1419	0.2229
0	15	5.144	0.008574	0.5417	0.4583	0.9273	1.866	0.1572	0.1405	0.224
0	16	5.41	0.009016	0.625	0.375	0.9353	0.9055	0.1568	0.1402	0.2244
0	17	3.999	0.006665	0.3333	0.6667	0.9392	0.9423	0.1557	0.1397	0.2248
0	18	3.296	0.005493	0.3333	0.6667	0.947	0.951	0.1549	0.1391	0.2252
0	19	2.465	0.004108	0.3333	0.6667	0.9579	0.9095	0.1542	0.1386	0.2255
0	20	1.558	0.002597	0.125	0.875	0.9621	1.749	0.1531	0.1382	0.226
0	21	2.863	0.004772	0.2917	0.7083	0.9514	0.941	0.1525	0.1387	0.2263
0	22	2.785	0.004641	0.2917	0.7083	0.9544	0.9404	0.1521	0.1391	0.2265
0	23	2.121	0.003535	0.2083	0.7917	0.9608	0.9664	0.1516	0.1395	0.2266
0	24	0.725	0.001208	0.08333	0.9167	0.9686	1.012	0.1515	0.1399	0.2268
0	25	0.6263	0.001044	0.08333	0.9167	0.9717	1.785	0.1504	0.1402	0.2271
0	26	0.6039	0.001006	0.08333	0.9167	0.9747	0.9018	0.1502	0.1404	0.2272
0	27	0.7179	0.001196	0.08333	0.9167	0.979	0.9236	0.15	0.1408	0.2273
