|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	0	0	evt_23	1	4.987	0.1995	0.3507
0	0	1	evt_16	1	4.404	0.1762	0.4012
0	0	2	evt_19	1	8.244	0.3297	-0.1512
0	0	3	evt_5	1	6.687	0.2675	0.01344
0	0	4	evt_4	1	5.764	0.2305	0.1708
0	0	5	evt_20	1	6.068	0.2427	0.06015
0	0	6	evt_3	1	5.477	0.2191	0.169
0	0	7	evt_22	1	6.643	0.2657	-0.04358
0	0	8	evt_17	1	6.625	0.265	0.05092
0	0	9	evt_8	1	8.153	0.3261	-0.191
0	0	10	evt_2	1	6.614	0.2646	-0.0324
0	0	11	evt_12	1	8.461	0.3385	-0.1213
0	0	12	evt_15	1	5.418	0.2167	0.2394
0	0	13	evt_10	1	7.417	0.2967	-0.05132
0	0	14	evt_21	1	7.87	0.3148	-0.225
0	0	15	evt_11	1	6.572	0.2629	0.01696
0	0	16	evt_7	1	6.201	0.248	-0.05718
0	0	17	evt_9	1	10.41	0.4166	-0.385
0	0	18	evt_1	1	3.207	0.1283	0.4721
0	0	19	evt_0	1	8.436	0.3375	-0.1868
0	0	20	evt_18	1	8.852	0.3541	-0.1523
0	0	21	evt_13	1	7.662	0.3065	-0.03814
0	0	22	evt_6	1	7.588	0.3035	-0.1115
0	0	23	evt_14	1	9.174	0.367	-0.1995
0	1	0	evt_19	1	7.755	0.3102	-0.1418
0	1	1	evt_7	1	5.527	0.2211	0.0889
0	1	2	evt_1	1	3.485	0.1394	0.4461
0	1	3	evt_18	1	7.225	0.289	-0.1589
0	1	4	evt_4	1	4.766	0.1906	0.246
0	1	5	evt_23	1	5.063	0.2025	0.2807
0	1	6	evt_16	1	4.595	0.1838	0.3403
0	1	7	evt_12	1	8.504	0.3402	-0.1892
0	1	8	evt_3	1	6.178	0.2471	0.07102
0	1	9	evt_11	1	7.176	0.287	0.006864
0	1	10	evt_21	1	4.999	0.2	0.1859
0	1	11	evt_15	1	2.265	0.09061	0.6244
0	1	12	evt_13	1	8.72	0.3488	-0.1602
0	1	13	evt_2	1	7.099	0.2839	-0.02414
0	1	14	evt_14	1	9.081	0.3632	-0.1876
0	1	15	evt_20	1	5.58	0.2232	0.2259
0	1	16	evt_10	1	5.887	0.2355	0.1911
0	1	17	evt_22	1	8.016	0.3206	-0.0956
0	1	18	evt_8	1	3.692	0.1477	0.4185
0	1	19	evt_9	1	10.08	0.4033	-0.3464
0	1	20	evt_6	1	5.567	0.2227	0.2184
0	1	21	evt_0	1	6.596	0.2638	0.1015
0	1	22	evt_5	1	6.51	0.2604	0.06273
0	1	23	evt_17	1	6.386	0.2554	0.1206
0	2	0	evt_6	1	5.546	0.2218	0.2319
