_H:,|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Test CorrECs,#Test CosDiffIap,#Test CosDiffIbp,#Test CosDiffCap,#Test CosDiffCbp,#Test Rcll,#Test Fami,#Lure CorrECs,#Lure CosDiffIap,#Lure CosDiffIbp,#Lure CosDiffCap,#Lure CosDiffCbp,#Lure Rcll,#Lure Fami
_D:,0,Base,-1,4433,0.1885,1,0,0.3327,0.8324,0.1602,0.1399,0.04461,0.1373,0.675,0.525,0.8136,0.06404,0.09654,0.01296,0.1022,0.425,0.375
_D:,1,Base,-1,4458,0.1895,1,0,0.3199,0.858,0.1721,0.2119,0.07375,0.1716,0.8,0.675,0.833,0.00141,0.01682,0.04151,0.08044,0.7,0.2
_D:,2,Base,-1,4410,0.1875,1,0,0.3402,0.8514,0.2204,0.1827,0.1035,0.19,0.775,0.7,0.8104,0.07604,0.04317,0.06058,0.148,0.375,0.225
_D:,3,Base,-1,4402,0.1872,1,0,0.3352,0.834,0.1351,0.1484,0.1551,0.1437,0.7,0.525,0.8127,-0.01961,0.01865,0.07977,0.1305,0.5,0.15
_D:,4,Base,-1,4796,0.2039,1,0,0.2744,0.8494,0.1388,0.07558,0.09007,0.147,0.825,0.5,0.8181,0.05024,-0.002732,0.0384,0.108,0.475,0.275
_D:,5,Base,-1,4517,0.192,1,0,0.3121,0.8544,0.0733,0.1196,0.1393,0.07325,0.75,0.5,0.8428,0.0003165,0.004615,0.1277,0.06059,0.8,0.125
_D:,6,Base,-1,4651,0.1977,1,0,0.2901,0.8502,0.1421,0.1121,0.1594,0.1853,0.75,0.475,0.8453,0.04084,0.03057,0.1617,0.1808,0.725,0.225
_D:,7,Base,-1,4423,0.188,1,0,0.3385,0.8485,0.1486,0.1449,0.1315,0.1148,0.775,0.55,0.8224,-0.03416,0.05164,0.05215,0.07778,0.5,0.25
_D:,8,Base,-1,4570,0.1943,1,0,0.3159,0.8561,0.131,0.1974,0.1246,0.1336,0.8,0.675,0.8246,0.01257,0.01026,0.08611,0.1148,0.6,0.175
_D:,9,Base,-1,4368,0.1857,1,0,0.3439,0.8428,0.2023,0.1534,0.0626,0.1635,0.7,0.575,0.8038,0.01742,0.03507,0.05153,0.1214,0.375,0.225
_D:,10,Base,-1,4471,0.1901,1,0,0.3298,0.8309,0.08743,0.09313,0.09926,0.1483,0.6,0.425,0.8112,0.03346,0.002541,0.08583,0.0989,0.45,0.175
_D:,11,Base,-1,4240,0.1803,1,0,0.3546,0.8416,0.11,0.09536,0.06674,0.1161,0.75,0.375,0.8145,0.01458,0.006233,0.07063,0.08857,0.475,0.1
_D:,12,Base,-1,4389,0.1866,1,0,0.3482,0.8305,0.1221,0.1239,0.06907,0.14,0.625,0.575,0.7966,0.02257,0.02086,0.009412,0.07069,0.25,0.175
_D:,13,Base,-1,4550,0.1934,1,0,0.3131,0.8368,0.1861,0.1736,0.1326,0.07795,0.65,0.675,0.8039,0.03906,0.01382,0.116,0.08777,0.35,0.25
_D:,14,Base,-1,4403,0.1872,1,0,0.3325,0.8332,0.1536,0.1206,0.1003,0.1366,0.65,0.55,0.8057,0.031,0.03315,0.09155,0.1314,0.375,0.275
_D:,15,Base,-1,4496,0.1912,1,0,0.3088,0.8602,0.1551,0.1861,0.1243,0.1242,0.825,0.65,0.8261,0.04527,0.0554,0.06897,0.07225,0.7,0.25
_D:,16,Base,-1,4292,0.1825,1,0,0.3573,0.8364,0.1541,0.1811,0.06818,0.1442,0.625,0.6,0.8094,0.02545,0.0319,0.04543,0.1378,0.425,0.175
_D:,17,Base,-1,4635,0.1971,1,0,0.3065,0.84,0.06302,0.1168,0.1048,0.2138,0.65,0.5,0.8139,0.03731,0.03213,0.09163,0.1915,0.425,0.3
_D:,18,Base,-1,4472,0.1901,1,0,0.3285,0.8488,0.1601,0.1733,0.1122,0.1599,0.825,0.5,0.824,0.02248,0.02425,0.09422,0.1235,0.525,0.225
_D:,19,Base,-1,4639,0.1973,1,0,0.3175,0.8422,0.1134,0.1369,0.09992,0.2229,0.625,0.475,0.8276,0.04992,0.03533,0.08638,0.1812,0.525,0.2
_D:,20,Base,-1,4202,0.1787,1,0,0.3621,0.8411,0.142,0.1896,0.07698,0.1464,0.725,0.625,0.798,0.01359,0.03396,0.04937,0.1454,0.225,0.175
