_H:	$Name	%Input[2:0,0]<2:16,16>	%Input[2:0,1]	%Input[2:0,2]	%Input[2:0,3]	%Input[2:0,4]	%Input[2:0,5]	%Input[2:0,6]	%Input[2:0,7]	%Input[2:0,8]	%Input[2:0,9]	%Input[2:0,10]	%Input[2:0,11]	%Input[2:0,12]	%Input[2:0,13]	%Input[2:0,14]	%Input[2:0,15]	%Input[2:1,0]	%Input[2:1,1]	%Input[2:1,2]	%Input[2:1,3]	%Input[2:1,4]	%Input[2:1,5]	%Input[2:1,6]	%Input[2:1,7]	%Input[2:1,8]	%Input[2:1,9]	%Input[2:1,10]	%Input[2:1,11]	%Input[2:1,12]	%Input[2:1,13]	%Input[2:1,14]	%Input[2:1,15]	%Input[2:2,0]	%Input[2:2,1]	%Input[2:2,2]	%Input[2:2,3]	%Input[2:2,4]	%Input[2:2,5]	%Input[2:2,6]	%Input[2:2,7]	%Input[2:2,8]	%Input[2:2,9]	%Input[2:2,10]	%Input[2:2,11]	%Input[2:2,12]	%Input[2:2,13]	%Input[2:2,14]	%Input[2:2,15]	%Input[2:3,0]	%Input[2:3,1]	%Input[2:3,2]	%Input[2:3,3]	%Input[2:3,4]	%Input[2:3,5]	%Input[2:3,6]	%Input[2:3,7]	%Input[2:3,8]	%Input[2:3,9]	%Input[2:3,10]	%Input[2:3,11]	%Input[2:3,12]	%Input[2:3,13]	%Input[2:3,14]	%Input[2:3,15]	%Input[2:4,0]	%Input[2:4,1]	%Input[2:4,2]	%Input[2:4,3]	%Input[2:4,4]	%Input[2:4,5]	%Input[2:4,6]	%Input[2:4,7]	%Input[2:4,8]	%Input[2:4,9]	%Input[2:4,10]	%Input[2:4,11]	%Input[2:4,12]	%Input[2:4,13]	%Input[2:4,14]	%Input[2:4,15]	%Input[2:5,0]	%Input[2:5,1]	%Input[2:5,2]	%Input[2:5,3]	%Input[2:5,4]	%Input[2:5,5]	%Input[2:5,6]	%Input[2:5,7]	%Input[2:5,8]	%Input[2:5,9]	%Input[2:5,10]	%Input[2:5,11]	%Input[2:5,12]	%Input[2:5,13]	%Input[2:5,14]	%Input[2:5,15]	%Input[2:6,0]	%Input[2:6,1]	%Input[2:6,2]	%Input[2:6,3]	%Input[2:6,4]	%Input[2:6,5]	%Input[2:6,6]	%Input[2:6,7]	%Input[2:6,8]	%Input[2:6,9]	%Input[2:6,10]	%Input[2:6,11]	%Input[2:6,12]	%Input[2:6,13]	%Input[2:6,14]	%Input[2:6,15]	%Input[2:7,0]	%Input[2:7,1]	%Input[2:7,2]	%Input[2:7,3]	%Input[2:7,4]	%Input[2:7,5]	%Input[2:7,6]	%Input[2:7,7]	%Input[2:7,8]	%Input[2:7,9]	%Input[2:7,10]	%Input[2:7,11]	%Input[2:7,12]	%Input[2:7,13]	%Input[2:7,14]	%Input[2:7,15]	%Input[2:8,0]	%Input[2:8,1]	%Input[2:8,2]	%Input[2:8,3]	%Input[2:8,4]	%Input[2:8,5]	%Input[2:8,6]	%Input[2:8,7]	%Input[2:8,8]	%Input[2:8,9]	%Input[2:8,10]	%Input[2:8,11]	%Input[2:8,12]	%Input[2:8,13]	%Input[2:8,14]	%Input[2:8,15]	%Input[2:9,0]	%Input[2:9,1]	%Input[2:9,2]	%Input[2:9,3]	%Input[2:9,4]	%Input[2:9,5]	%Input[2:9,6]	%Input[2:9,7]	%Input[2:9,8]	%Input[2:9,9]	%Input[2:9,10]	%Input[2:9,11]	%Input[2:9,12]	%Input[2:9,13]	%Input[2:9,14]	%Input[2:9,15]	%Input[2:10,0]	%Input[2:10,1]	%Input[2:10,2]	%Input[2:10,3]	%Input[2:10,4]	%Input[2:10,5]	%Input[2:10,6]	%Input[2:10,7]	%Input[2:10,8]	%Input[2:10,9]	%Input[2:10,10]	%Input[2:10,11]	%Input[2:10,12]	%Input[2:10,13]	%Input[2:10,14]	%Input[2:10,15]	%Input[2:11,0]	%Input[2:11,1]	%Input[2:11,2]	%Input[2:11,3]	%Input[2:11,4]	%Input[2:11,5]	%Input[2:11,6]	%Input[2:11,7]	%Input[2:11,8]	%Input[2:11,9]	%Input[2:11,10]	%Input[2:11,11]	%Input[2:11,12]	%Input[2:11,13]	%Input[2:11,14]	%Input[2:11,15]	%Input[2:12,0]	%Input[2:12,1]	%Input[2:12,2]	%Input[2:12,3]	%Input[2:12,4]	%Input[2:12,5]	%Input[2:12,6]	%Input[2:12,7]	%Input[2:12,8]	%Input[2:12,9]	%Input[2:12,10]	%Input[2:12,11]	%Input[2:12,12]	%Input[2:12,13]	%Input[2:12,14]	%Input[2:12,15]	%Input[2:13,0]	%Input[2:13,1]	%Input[2:13,2]	%Input[2:13,3]	%Input[2:13,4]	%Input[2:13,5]	%Input[2:13,6]	%Input[2:13,7]	%Input[2:13,8]	%Input[2:13,9]	%Input[2:13,10]	%Input[2:13,11]	%Input[2:13,12]	%Input[2:13,13]	%Input[2:13,14]	%Input[2:13,15]	%Input[2:14,0]	%Input[2:14,1]	%Input[2:14,2]	%Input[2:14,3]	%Input[2:14,4]	%Input[2:14,5]	%Input[2:14,6]	%Input[2:14,7]	%Input[2:14,8]	%Input[2:14,9]	%Input[2:14,10]	%Input[2:14,11]	%Input[2:14,12]	%Input[2:14,13]	%Input[2:14,14]	%Input[2:14,15]	%Input[2:15,0]	%Input[2:15,1]	%Input[2:15,2]	%Input[2:15,3]	%Input[2:15,4]	%Input[2:15,5]	%Input[2:15,6]	%Input[2:15,7]	%Input[2:15,8]	%Input[2:15,9]	%Input[2:15,10]	%Input[2:15,11]	%Input[2:15,12]	%Input[2:15,13]	%Input[2:15,14]	%Input[2:15,15]	%Emotion[2:0,0]<2:1,2>	%Emotion[2:0,1]	%Gender[2:0,0]<2:1,2>	%Gender[2:0,1]	%Identity[2:0,0]<2:1,10>	%Identity[2:0,1]	%Identity[2:0,2]	%Identity[2:0,3]	%Identity[2:0,4]	%Identity[2:0,5]	%Identity[2:0,6]	%Identity[2:0,7]	%Identity[2:0,8]	%Identity[2:0,9]
_D:	Alberto_happy	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
_D:	Alberto_sad	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
_D:	Betty_happy	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
_D:	Betty_sad	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
_D:	Lisa_happy	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
_D:	Lisa_sad	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
_D:	Mark_happy	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
_D:	Mark_sad	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
_D:	Wendy_happy	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
_D:	Wendy_sad	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
